method,pq,build_ms,search_ms,search_ms_std,qps,qps_std,recall,k,upload_ms,query_projection_ms,alloc_ms,h2d_ms,memset_ms,kernel_ms,d2h_ms,visited_mean,visited_p95,expanded_mean,expanded_p95,neighbor_slots_mean,distance_evals_mean,distance_evals_p95,frontier_pushes_mean,result_updates_mean,peak_frontier_mean,peak_results_mean,early_stop_rate,ids_path,query_stats_path,batch_stats_path
repro_cpu_raw,10,775734.0,110.221,1.58458,9074.53,129.289,0.6281,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.109,530.0,19.428,27.0,589.696,383.109,530.0,383.109,92.436,364.689,10.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0010.ids,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0010_query_stats.csv,
repro_gpu_raw,10,785934.0,73.0291,100.432,332754.0,232012.0,0.6277,10,228.641,0.0,0.152592,0.145868,0.0,214.859,0.024284,383.08,530.0,19.433,27.0,589.856,383.08,530.0,134.417,92.429,10.0,10.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010_batch_stats.csv
repro_gpu_hash,10,501106.0,2.06315,0.131816,486597.0,29746.3,0.1712,10,24.917,10.6552,0.095947,0.015674,0.0,2.19063,0.019038,450.855,651.0,22.127,31.0,676.064,450.855,651.0,130.351,82.38,10.0,10.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010_batch_stats.csv
official_cpu_raw,10,723827.791724354,731.6080039987961,4.53514992113595,1366.904718611878,8.474517864414208,0.5980999999999999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0010_query_stats.csv,
official_gpu_raw,10,842451.9766271114,1053.57965392371,140.30556666430485,964.8109154403916,117.65883005734037,0.8863,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0010_query_stats.csv,
repro_cpu_raw,20,775734.0,162.267,1.66076,6163.34,62.8129,0.7516,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.41,734.3,29.374,38.0,907.968,544.41,734.3,544.41,151.447,516.044,20.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0020.ids,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0020_query_stats.csv,
repro_gpu_raw,20,785934.0,3.38768,0.0129219,295191.0,1123.01,0.7519,10,228.641,0.0,0.089492,0.041469,0.0,3.32224,0.018314,544.491,736.2,29.374,38.0,907.968,544.491,736.2,216.778,151.475,20.0,20.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020_batch_stats.csv
repro_gpu_hash,20,501106.0,3.94625,0.171305,253869.0,10692.4,0.1854,10,24.917,10.6552,0.083007,0.012939,0.0,4.12906,0.02358,663.332,910.05,34.531,45.0,1072.99,663.332,910.05,216.506,139.193,20.0,20.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020_batch_stats.csv
official_cpu_raw,20,723827.791724354,775.6746237476667,14.914168584804262,1289.6707537923476,24.465115917989248,0.736,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0020_query_stats.csv,
official_gpu_raw,20,842451.9766271114,886.4810584733883,1.064354328085111,1128.0573147742357,1.355206570796856,0.8863,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0020_query_stats.csv,
repro_cpu_raw,30,775734.0,214.512,0.951661,4661.83,20.7254,0.8142,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.783,891.0,38.891,47.05,1212.51,688.783,891.0,688.783,194.891,650.905,30.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0030.ids,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0030_query_stats.csv,
repro_gpu_raw,30,785934.0,5.10964,0.00862472,195709.0,330.04,0.8154,10,228.641,0.0,0.090376,0.034471,0.0,5.04466,0.018512,689.636,897.0,38.947,48.0,1214.3,689.636,897.0,283.227,195.044,30.0,30.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030_batch_stats.csv
repro_gpu_hash,30,501106.0,5.45738,0.175297,183423.0,5761.24,0.1915,10,24.917,10.6552,0.084056,0.012958,0.0,5.64884,0.020424,850.0,1141.15,46.18,59.0,1445.76,850.0,1141.15,287.766,183.195,30.0,30.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030_batch_stats.csv
official_cpu_raw,30,723827.791724354,833.1514007101456,14.245734151148616,1200.6153521239607,20.664265494164166,0.8083,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0030_query_stats.csv,
official_gpu_raw,30,842451.9766271114,896.3627225408951,6.767573394790775,1115.6832959408623,8.410308996722977,0.8863,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0030_query_stats.csv,
repro_cpu_raw,40,775734.0,259.297,0.965075,3856.63,14.3427,0.8554,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.746,1062.0,48.475,56.0,1519.2,826.746,1062.0,826.746,230.297,779.281,40.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0040.ids,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0040_query_stats.csv,
repro_gpu_raw,40,785934.0,6.63049,0.010743,150819.0,244.143,0.8549,10,228.641,0.0,0.081558,0.032972,0.0,6.57016,0.018244,826.12,1055.25,48.458,56.0,1518.66,826.12,1055.25,341.294,230.314,40.0,40.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040_batch_stats.csv
repro_gpu_hash,40,501106.0,7.74428,0.207967,129219.0,3405.42,0.1941,10,24.917,10.6552,0.082213,0.012615,0.0,7.98464,0.018186,1029.54,1387.15,57.898,73.0,1820.74,1029.54,1387.15,351.052,219.196,40.0,40.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040_batch_stats.csv
official_cpu_raw,40,723827.791724354,883.1867581854264,3.2998726581060347,1132.2791424413601,4.2259855607539185,0.8535,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/official_cpu_raw/official_cpu_raw_pq0040_query_stats.csv,
official_gpu_raw,40,842451.9766271114,892.3364958415428,2.307001151091993,1120.660984898376,2.9025952547609424,0.8863,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/official_gpu_raw/official_gpu_raw_pq0040_query_stats.csv,
repro_cpu_raw,50,775734.0,312.084,3.66655,3204.71,37.8041,0.8848,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.598,1235.0,58.173,66.0,1829.54,963.598,1235.0,963.598,260.912,906.452,50.0,1.0,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0050.ids,/root/2020_song_ex/results/compare_run/runs/repro_cpu_raw/pq0050_query_stats.csv,
