query_id,method,pq,recall
0,official_cpu_raw,50,0.8
1,official_cpu_raw,50,0.7
2,official_cpu_raw,50,0.8
3,official_cpu_raw,50,1.0
4,official_cpu_raw,50,1.0
5,official_cpu_raw,50,0.5
6,official_cpu_raw,50,1.0
7,official_cpu_raw,50,1.0
8,official_cpu_raw,50,0.9
9,official_cpu_raw,50,1.0
10,official_cpu_raw,50,0.9
11,official_cpu_raw,50,0.8
12,official_cpu_raw,50,0.9
13,official_cpu_raw,50,1.0
14,official_cpu_raw,50,0.8
15,official_cpu_raw,50,0.8
16,official_cpu_raw,50,0.9
17,official_cpu_raw,50,0.7
18,official_cpu_raw,50,0.8
19,official_cpu_raw,50,0.9
20,official_cpu_raw,50,1.0
21,official_cpu_raw,50,1.0
22,official_cpu_raw,50,1.0
23,official_cpu_raw,50,0.9
24,official_cpu_raw,50,1.0
25,official_cpu_raw,50,1.0
26,official_cpu_raw,50,0.9
27,official_cpu_raw,50,0.9
28,official_cpu_raw,50,0.8
29,official_cpu_raw,50,0.9
30,official_cpu_raw,50,0.9
31,official_cpu_raw,50,0.9
32,official_cpu_raw,50,1.0
33,official_cpu_raw,50,1.0
34,official_cpu_raw,50,0.9
35,official_cpu_raw,50,1.0
36,official_cpu_raw,50,1.0
37,official_cpu_raw,50,1.0
38,official_cpu_raw,50,1.0
39,official_cpu_raw,50,1.0
40,official_cpu_raw,50,1.0
41,official_cpu_raw,50,0.8
42,official_cpu_raw,50,1.0
43,official_cpu_raw,50,0.6
44,official_cpu_raw,50,1.0
45,official_cpu_raw,50,1.0
46,official_cpu_raw,50,1.0
47,official_cpu_raw,50,0.7
48,official_cpu_raw,50,1.0
49,official_cpu_raw,50,1.0
50,official_cpu_raw,50,1.0
51,official_cpu_raw,50,0.9
52,official_cpu_raw,50,1.0
53,official_cpu_raw,50,0.9
54,official_cpu_raw,50,0.9
55,official_cpu_raw,50,1.0
56,official_cpu_raw,50,0.8
57,official_cpu_raw,50,1.0
58,official_cpu_raw,50,1.0
59,official_cpu_raw,50,1.0
60,official_cpu_raw,50,0.8
61,official_cpu_raw,50,1.0
62,official_cpu_raw,50,1.0
63,official_cpu_raw,50,1.0
64,official_cpu_raw,50,1.0
65,official_cpu_raw,50,1.0
66,official_cpu_raw,50,1.0
67,official_cpu_raw,50,1.0
68,official_cpu_raw,50,0.9
69,official_cpu_raw,50,0.8
70,official_cpu_raw,50,1.0
71,official_cpu_raw,50,1.0
72,official_cpu_raw,50,0.7
73,official_cpu_raw,50,1.0
74,official_cpu_raw,50,0.5
75,official_cpu_raw,50,0.7
76,official_cpu_raw,50,1.0
77,official_cpu_raw,50,0.7
78,official_cpu_raw,50,0.9
79,official_cpu_raw,50,1.0
80,official_cpu_raw,50,1.0
81,official_cpu_raw,50,0.8
82,official_cpu_raw,50,0.9
83,official_cpu_raw,50,1.0
84,official_cpu_raw,50,0.8
85,official_cpu_raw,50,1.0
86,official_cpu_raw,50,1.0
87,official_cpu_raw,50,1.0
88,official_cpu_raw,50,1.0
