query_id,pq,latency_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,20,0.181891,0.4,4,510,24,736,506,510,510,102,487,20,10,1
1,20,0.226487,0.6,4,655,31,960,651,655,655,129,625,20,10,1
2,20,0.195802,0.8,4,545,26,800,541,545,545,146,520,20,10,1
3,20,0.146364,1,4,403,26,800,399,403,403,109,378,20,10,1
4,20,0.167518,0.8,4,462,26,800,458,462,462,136,437,20,10,1
5,20,0.233292,0.5,4,691,34,1056,687,691,691,153,658,20,10,1
6,20,0.158538,0.7,4,522,25,768,518,522,522,109,498,20,10,1
7,20,0.171907,1,4,525,31,960,521,525,525,209,495,20,10,1
8,20,0.183795,0.9,4,597,27,832,593,597,597,116,571,20,10,1
9,20,0.218321,0.8,4,722,36,1120,718,722,722,162,687,20,10,1
10,20,0.211355,0.8,4,656,40,1248,652,656,656,137,617,20,10,1
11,20,0.162558,0.6,4,540,26,800,536,540,540,134,515,20,10,1
12,20,0.136101,0.8,4,445,25,768,441,445,445,128,421,20,10,1
13,20,0.144518,0.7,4,501,25,768,497,501,501,137,477,20,10,1
14,20,0.183339,0.6,4,580,30,928,576,580,580,125,551,20,10,1
15,20,0.153214,0.7,4,482,30,928,478,482,482,133,453,20,10,1
16,20,0.149678,0.6,4,492,27,832,488,492,492,125,466,20,10,1
17,20,0.147762,0.2,4,517,26,800,513,517,517,92,492,20,10,1
18,20,0.169858,0.3,4,551,27,832,547,551,551,145,525,20,10,1
19,20,0.150703,0.8,4,552,26,800,548,552,552,116,527,20,10,1
20,20,0.170186,0.8,4,525,28,864,521,525,525,183,498,20,10,1
21,20,0.195297,1,4,662,31,960,658,662,662,144,632,20,10,1
22,20,0.121341,0.1,4,426,24,736,422,426,426,123,403,20,10,1
23,20,0.14875,0.8,4,500,25,768,496,500,500,153,476,20,10,1
24,20,0.172694,1,4,596,30,928,592,596,596,165,567,20,10,1
25,20,0.176298,1,4,565,29,896,561,565,565,150,537,20,10,1
26,20,0.208026,0.8,4,670,34,1056,666,670,670,175,637,20,10,1
27,20,0.193151,0.7,4,643,30,928,639,643,643,171,614,20,10,1
28,20,0.189158,0.6,4,632,31,960,628,632,632,162,602,20,10,1
29,20,0.158157,0.8,4,498,30,928,494,498,498,182,469,20,10,1
30,20,0.160866,0.4,4,537,29,896,533,537,537,173,509,20,10,1
31,20,0.162195,0.8,4,537,27,832,533,537,537,152,511,20,10,1
32,20,0.141585,0.9,4,472,24,736,468,472,472,133,449,20,10,1
33,20,0.139517,1,4,415,30,928,411,415,415,168,386,20,10,1
34,20,0.173293,1,4,559,28,864,555,559,559,140,532,20,10,1
35,20,0.176815,1,4,552,28,864,548,552,552,139,525,20,10,1
36,20,0.157569,0.5,4,532,28,864,528,532,532,135,505,20,10,1
37,20,0.150909,1,4,471,30,928,467,471,471,180,442,20,10,1
38,20,0.159504,1,4,495,27,832,491,495,495,143,469,20,10,1
39,20,0.158599,1,4,523,26,800,519,523,523,124,498,20,10,1
40,20,0.208026,1,4,661,32,992,657,661,661,153,630,20,10,1
41,20,0.166268,0.6,4,514,30,928,510,514,514,187,485,20,10,1
42,20,0.161358,1,4,528,27,832,524,528,528,151,502,20,10,1
43,20,0.141193,0.4,4,478,25,768,474,478,478,115,454,20,10,1
44,20,0.189224,0.9,4,574,31,960,570,574,574,194,544,20,10,1
45,20,0.152453,1,4,506,27,832,502,506,506,151,480,20,10,1
46,20,0.189165,1,4,570,32,992,566,570,570,228,539,20,10,1
47,20,0.189989,0.5,4,616,34,1056,612,616,616,145,583,20,10,1
48,20,0.156092,1,4,481,30,928,477,481,481,165,452,20,10,1
49,20,0.136499,1,4,459,26,800,455,459,459,160,434,20,10,1
50,20,0.155803,0.9,4,515,28,864,511,515,515,153,488,20,10,1
51,20,0.152165,0.9,4,478,27,832,474,478,478,137,452,20,10,1
52,20,0.213353,1,4,713,36,1120,709,713,713,177,678,20,10,1
53,20,0.188779,0.8,4,657,29,896,653,657,657,174,629,20,10,1
54,20,0.151661,0.5,4,465,30,928,461,465,465,204,436,20,10,1
55,20,0.150491,1,4,465,30,928,461,465,465,218,436,20,10,1
56,20,0.175713,0.8,4,590,28,864,586,590,590,174,563,20,10,1
57,20,0.148516,0.9,4,465,26,800,461,465,465,125,440,20,10,1
58,20,0.168663,1,4,547,28,864,543,547,547,147,520,20,10,1
59,20,0.130469,0.2,4,400,27,832,396,400,400,166,374,20,10,1
60,20,0.221017,0.6,4,732,34,1056,728,732,732,162,699,20,10,1
61,20,0.170816,1,4,527,30,928,523,527,527,171,498,20,10,1
62,20,0.15541,1,4,480,29,896,476,480,480,200,452,20,10,1
63,20,0.157705,0.4,4,523,29,896,519,523,523,168,495,20,10,1
64,20,0.12707,1,4,390,24,736,386,390,390,124,367,20,10,1
65,20,0.190698,0.8,4,606,33,1024,602,606,606,184,574,20,10,1
66,20,0.10879,0.7,4,358,24,736,354,358,358,116,335,20,10,1
67,20,0.188911,1,4,594,33,1024,590,594,594,176,562,20,10,1
68,20,0.135419,0.7,4,435,25,768,431,435,435,145,411,20,10,1
69,20,0.175508,0.6,4,575,31,960,571,575,575,155,545,20,10,1
70,20,0.139323,1,4,453,26,800,449,453,453,144,428,20,10,1
71,20,0.144905,0.8,4,468,27,832,464,468,468,173,442,20,10,1
72,20,0.125373,0.5,4,398,26,800,394,398,398,111,373,20,10,1
73,20,0.183566,1,4,565,31,960,561,565,565,155,535,20,10,1
74,20,0.171565,0.3,4,591,31,960,587,591,591,153,561,20,10,1
75,20,0.180129,0.4,4,593,32,992,589,593,593,172,562,20,10,1
76,20,0.169147,0.9,4,511,30,928,507,511,511,169,482,20,10,1
77,20,0.164682,0.7,4,527,27,832,523,527,527,188,501,20,10,1
78,20,0.170934,0.6,4,564,29,896,560,564,564,136,536,20,10,1
79,20,0.160844,1,4,513,29,896,509,513,513,185,485,20,10,1
80,20,0.1903,0.9,4,597,31,960,593,597,597,204,567,20,10,1
81,20,0.146114,0.6,4,450,25,768,446,450,450,125,426,20,10,1
82,20,0.213448,0.6,4,703,37,1152,699,703,703,168,667,20,10,1
83,20,0.143743,1,4,491,25,768,487,491,491,150,467,20,10,1
84,20,0.15089,0.5,4,515,24,736,511,515,515,112,492,20,10,1
85,20,0.141126,1,4,393,31,960,389,393,393,174,363,20,10,1
86,20,0.143874,0.9,4,446,29,896,442,446,446,185,418,20,10,1
87,20,0.139241,1,4,439,30,928,435,439,439,215,410,20,10,1
88,20,0.132254,1,4,416,30,928,412,416,416,174,387,20,10,1
89,20,0.181103,0.8,4,600,30,928,596,600,600,209,571,20,10,1
90,20,0.097935,0.9,4,338,24,736,334,338,338,124,316,20,10,1
91,20,0.186164,0.9,4,574,33,1024,570,574,574,188,542,20,10,1
92,20,0.142148,0.5,4,460,28,864,456,460,460,127,433,20,10,1
93,20,0.128021,0.9,4,410,24,736,406,410,410,113,387,20,10,1
94,20,0.117167,1,4,376,26,800,372,376,376,156,351,20,10,1
95,20,0.218445,0.8,4,687,37,1152,683,687,687,184,651,20,10,1
96,20,0.194566,0.6,4,616,30,928,612,616,616,169,587,20,10,1
97,20,0.129693,0.6,4,418,26,800,414,418,418,133,393,20,10,1
98,20,0.15532,0.9,4,515,28,864,511,515,515,213,488,20,10,1
99,20,0.142735,1,4,464,26,800,460,464,464,120,439,20,10,1
100,20,0.155715,0.9,4,518,27,832,514,518,518,144,492,20,10,1
101,20,0.149528,0.9,4,475,28,864,471,475,475,154,448,20,10,1
102,20,0.178142,0.7,4,590,32,992,586,590,590,157,559,20,10,1
103,20,0.145464,0.9,4,452,27,832,448,452,452,174,426,20,10,1
104,20,0.14597,1,4,496,25,768,492,496,496,140,472,20,10,1
105,20,0.192406,0.7,4,591,31,960,587,591,591,178,561,20,10,1
106,20,0.129541,0.8,4,435,24,736,431,435,435,127,412,20,10,1
107,20,0.144552,1,4,449,29,896,445,449,449,190,421,20,10,1
108,20,0.10958,0.9,4,360,29,896,356,360,360,182,332,20,10,1
109,20,0.149633,0.8,4,487,27,832,483,487,487,144,461,20,10,1
110,20,0.128024,0.6,4,426,27,832,422,426,426,159,400,20,10,1
111,20,0.213497,0.9,4,712,35,1088,708,712,712,173,678,20,10,1
112,20,0.116194,1,4,333,28,864,329,333,333,168,306,20,10,1
113,20,0.181646,0.7,4,567,31,960,563,567,567,164,537,20,10,1
114,20,0.121901,1,4,382,25,768,378,382,382,142,358,20,10,1
115,20,0.211729,0.6,4,705,34,1056,701,705,705,130,672,20,10,1
116,20,0.120528,1,4,385,26,800,381,385,385,157,360,20,10,1
117,20,0.165307,0.2,4,545,30,928,541,545,545,119,516,20,10,1
118,20,0.149226,1,4,491,26,800,487,491,491,144,466,20,10,1
119,20,0.138753,1,4,437,29,896,433,437,437,221,409,20,10,1
120,20,0.222894,0.6,4,719,39,1216,715,719,719,188,681,20,10,1
121,20,0.176597,0.6,4,559,28,864,555,559,559,161,532,20,10,1
122,20,0.201591,1,4,662,34,1056,658,662,662,173,629,20,10,1
123,20,0.152907,1,4,479,28,864,475,479,479,153,452,20,10,1
124,20,0.151192,1,4,503,25,768,499,503,503,141,479,20,10,1
125,20,0.129133,1,4,463,25,768,459,463,463,149,439,20,10,1
126,20,0.21104,0.4,4,741,33,1024,737,741,741,169,709,20,10,1
127,20,0.145235,0.9,4,452,23,704,448,452,452,102,430,20,10,1
128,20,0.144155,0.9,4,495,26,800,491,495,495,135,470,20,10,1
129,20,0.18687,1,4,580,35,1088,576,580,580,190,546,20,10,1
130,20,0.1524,0.3,4,509,26,800,505,509,509,139,484,20,10,1
131,20,0.160738,1,4,510,29,896,506,510,510,162,482,20,10,1
132,20,0.189114,0.8,4,596,29,896,592,596,596,120,568,20,10,1
133,20,0.150926,0.2,4,475,28,864,471,475,475,134,448,20,10,1
134,20,0.192196,0.8,4,618,36,1120,614,618,618,217,583,20,10,1
135,20,0.178853,0.3,4,578,30,928,574,578,578,174,549,20,10,1
136,20,0.190643,1,4,603,32,992,599,603,603,147,572,20,10,1
137,20,0.176072,0.8,4,567,30,928,563,567,567,162,538,20,10,1
138,20,0.181017,1,4,562,31,960,558,562,562,191,533,20,10,1
139,20,0.152483,0.5,4,532,28,864,528,532,532,127,505,20,10,1
140,20,0.251948,0.7,4,818,40,1248,814,818,818,157,779,20,10,1
141,20,0.118167,0.8,4,338,28,864,334,338,338,139,311,20,10,1
142,20,0.152394,0.4,4,510,29,896,506,510,510,145,482,20,10,1
143,20,0.156662,1,4,503,30,928,499,503,503,196,474,20,10,1
144,20,0.143574,0.9,4,448,26,800,444,448,448,122,423,20,10,1
145,20,0.160706,0.7,4,534,29,896,530,534,534,161,506,20,10,1
146,20,0.224312,0.9,4,730,39,1216,726,730,730,184,692,20,10,1
147,20,0.154504,0.9,4,496,26,800,492,496,496,134,471,20,10,1
