query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.2,4,642,33,1024,638,642,187,103,20,20,10,1
1,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,639,32,992,635,639,212,144,20,20,10,1
2,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.1,4,751,35,1088,747,751,222,144,20,20,10,1
3,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.3,4,589,37,1152,585,589,201,137,20,20,10,1
4,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,841,42,1312,837,841,243,147,20,20,10,1
5,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,668,31,960,664,668,212,142,20,20,10,1
6,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,707,37,1152,703,707,200,120,20,20,10,1
7,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.2,4,823,55,1728,819,823,298,164,20,20,10,1
8,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,579,26,800,575,579,165,95,20,20,10,1
9,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.2,4,779,34,1056,775,779,206,141,20,20,10,1
10,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.1,4,664,30,928,660,664,189,124,20,20,10,1
11,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,740,35,1088,736,740,202,131,20,20,10,1
12,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0,4,660,32,992,656,660,186,122,20,20,10,1
13,20,0,1.6957e-05,0,0.00421981,1.96621e-05,0.00425643,0.2,4,648,30,928,644,648,180,113,20,20,10,1
