query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,995,53,1664,991,995,345,208,50,50,10,1
1,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1136,57,1792,1132,1136,379,242,50,50,10,1
2,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1054,57,1792,1050,1054,385,239,50,50,10,1
3,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,622,55,1728,618,622,325,206,50,50,10,1
4,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1004,59,1856,1000,1004,384,234,50,50,10,1
5,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1112,62,1952,1108,1112,443,316,50,50,10,1
6,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1062,54,1696,1058,1062,341,211,50,50,10,1
7,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,734,60,1888,730,734,419,303,50,50,10,1
8,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1091,53,1664,1087,1091,349,214,50,50,10,1
9,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,987,55,1728,983,987,413,284,50,50,10,1
10,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,998,61,1920,994,998,395,241,50,50,10,1
11,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1068,58,1824,1064,1068,375,239,50,50,10,1
12,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,876,54,1696,872,876,351,219,50,50,10,1
13,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1022,58,1824,1018,1022,374,241,50,50,10,1
14,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1137,62,1952,1133,1137,406,246,50,50,10,1
15,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,912,57,1792,908,912,360,235,50,50,10,1
16,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,992,56,1760,988,992,361,225,50,50,10,1
17,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1089,56,1760,1085,1089,340,224,50,50,10,1
18,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1101,56,1760,1097,1101,402,275,50,50,10,1
19,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1015,56,1760,1011,1015,359,222,50,50,10,1
20,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,911,58,1824,907,911,397,278,50,50,10,1
