method,pq,build_ms,upload_ms,query_projection_ms,search_ms_telemetry,search_ms_mean,search_ms_std,search_ms_min,search_ms_max,qps_mean,qps_std,recall,alloc_ms,h2d_ms,memset_ms,kernel_ms,d2h_ms,approx_latency_mean_ms,approx_latency_p95_ms,recall_mean,recall_p95,visited_mean,visited_p95,expanded_mean,expanded_p95,neighbor_slots_mean,distance_evals_mean,distance_evals_p95,frontier_pushes_mean,result_updates_mean,peak_frontier_mean,peak_results_mean,early_stop_rate,ids_path,query_stats_path,batch_stats_path
repro_gpu_raw,10,785934,228.641,0,215.061,73.0291,100.432,2.00394,215.061,332754,232012,0.6277,0.152592,0.145868,0,214.859,0.024284,0.215029,0.417799,0.6277,1,383.08,530,19.433,27,589.856,383.08,530,134.417,92.429,10,10,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0010_batch_stats.csv
repro_gpu_hash,10,501106,24.917,10.6552,2.24955,2.06315,0.131816,1.96787,2.24955,486597,29746.3,0.1712,0.095947,0.015674,0,2.19063,0.019038,0.00222534,0.00230365,0.1712,0.5,450.855,651,22.127,31,676.064,450.855,651,130.351,82.38,10,10,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0010_batch_stats.csv
repro_gpu_raw,20,785934,228.641,0,3.40592,3.38768,0.0129219,3.37752,3.40592,295191,1123.01,0.7519,0.089492,0.041469,0,3.32224,0.018314,0.00338203,0.00342311,0.7519,1,544.491,736.2,29.374,38,907.968,544.491,736.2,216.778,151.475,20,20,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0020_batch_stats.csv
repro_gpu_hash,20,501106,24.917,10.6552,4.18849,3.94625,0.171305,3.8227,4.18849,253869,10692.4,0.1854,0.083007,0.012939,0,4.12906,0.02358,0.00416557,0.00425643,0.1854,0.5,663.332,910.05,34.531,45,1072.99,663.332,910.05,216.506,139.193,20,20,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0020_batch_stats.csv
repro_gpu_raw,30,785934,228.641,0,5.12152,5.10964,0.00862472,5.10129,5.12152,195709,330.04,0.8154,0.090376,0.034471,0,5.04466,0.018512,0.00509764,0.00513221,0.8154,1,689.636,897,38.947,48,1214.3,689.636,897,283.227,195.044,30,30,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0030_batch_stats.csv
repro_gpu_hash,30,501106,24.917,10.6552,5.70522,5.45738,0.175297,5.32841,5.70522,183423,5761.24,0.1915,0.084056,0.012958,0,5.64884,0.020424,0.00568222,0.00595821,0.1915,0.5,850,1141.15,46.18,59,1445.76,850,1141.15,287.766,183.195,30,30,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0030_batch_stats.csv
repro_gpu_raw,40,785934,228.641,0,6.64532,6.63049,0.010743,6.62021,6.64532,150819,244.143,0.8549,0.081558,0.032972,0,6.57016,0.018244,0.00662137,0.00687854,0.8549,1,826.12,1055.25,48.458,56,1518.66,826.12,1055.25,341.294,230.314,40,40,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0040_batch_stats.csv
repro_gpu_hash,40,501106,24.917,10.6552,8.03838,7.74428,0.207967,7.59595,8.03838,129219,3405.42,0.1941,0.082213,0.012615,0,7.98464,0.018186,0.00801544,0.00840955,0.1941,0.5,1029.54,1387.15,57.898,73,1820.74,1029.54,1387.15,351.052,219.196,40,40,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0040_batch_stats.csv
repro_gpu_raw,50,785934,228.641,0,8.88587,8.8703,0.0110149,8.86227,8.88587,112736,139.869,0.8838,0.076957,0.031725,0,8.81129,0.018866,0.00886188,0.00929189,0.8838,1,962.911,1227.15,58.167,66,1829.34,962.911,1227.15,395.543,260.929,50,50,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0050.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0050_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_raw_pq0050_batch_stats.csv
repro_gpu_hash,50,501106,24.917,10.6552,11.1953,10.8715,0.22896,10.7083,11.1953,92023.7,1909.63,0.1963,0.107424,0.017251,0,11.1307,0.021948,0.0111699,0.01126,0.1963,0.5,1203.55,1592.05,69.856,87,2203.39,1203.55,1592.05,410.923,250.436,50,50,1,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0050.ids,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0050_query_stats.csv,/root/2020_song_ex/results/compare_run/runs/repro_gpu/repro_gpu_hash_pq0050_batch_stats.csv
