method,pq,build_ms,search_ms,search_ms_std,qps,qps_std,recall,k,upload_ms,query_projection_ms,alloc_ms,h2d_ms,memset_ms,kernel_ms,d2h_ms,visited_mean,visited_p95,expanded_mean,expanded_p95,neighbor_slots_mean,distance_evals_mean,distance_evals_p95,frontier_pushes_mean,result_updates_mean,peak_frontier_mean,peak_results_mean,early_stop_rate,ids_path,query_stats_path,batch_stats_path
repro_cpu_raw,10,1661990.0,149.809,4.90308,6682.19,214.044,0.2197,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.821,676.2,20.906,34.0,636.992,412.821,676.2,412.821,75.831,392.919,10.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_cpu_raw/pq0010.ids,/root/2020_song_ex/results/glove200_full/runs/repro_cpu_raw/pq0010_query_stats.csv,
repro_gpu_raw,10,1647340.0,4.27692,0.69713,239519.0,35008.1,0.2197,10,382.904,0.0,0.183689,0.679659,0.0,4.51529,0.031198,412.802,676.2,20.906,34.0,636.992,412.802,676.2,125.386,75.831,10.0,10.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0010.ids,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0010_query_stats.csv,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0010_batch_stats.csv
repro_gpu_hash,10,893012.0,2.45188,0.124963,408876.0,20114.1,0.0735,10,30.0861,23.2244,0.141891,0.020904,0.0,2.54922,0.027944,502.163,759.05,22.748,35.0,695.936,502.163,759.05,124.573,67.137,10.0,10.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0010.ids,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0010_query_stats.csv,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0010_batch_stats.csv
official_cpu_raw,10,1798463.6147841811,1331.2877416610718,26.06219172037133,751.4392451290613,14.652994084663597,0.2015,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/glove200_full/runs/official_cpu_raw/official_cpu_raw_pq0010.ids,/root/2020_song_ex/results/glove200_full/runs/official_cpu_raw/official_cpu_raw_pq0010_query_stats.csv,
official_gpu_raw,10,1657734.8226048052,1549.1004697978497,177.96203971332736,653.5139695420403,69.44718005604625,0.4621,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/glove200_full/runs/official_gpu_raw/official_gpu_raw_pq0010.ids,/root/2020_song_ex/results/glove200_full/runs/official_gpu_raw/official_gpu_raw_pq0010_query_stats.csv,
repro_cpu_raw,20,1661990.0,260.615,2.20894,3837.36,32.3376,0.3306,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.407,1052.1,35.593,55.0,1106.98,672.407,1052.1,672.407,143.151,637.826,20.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_cpu_raw/pq0020.ids,/root/2020_song_ex/results/glove200_full/runs/repro_cpu_raw/pq0020_query_stats.csv,
repro_gpu_raw,20,1647340.0,6.8037,0.0155765,146980.0,336.357,0.3306,10,382.904,0.0,0.100138,0.08422,0.0,6.68073,0.025967,672.246,1052.05,35.59,55.0,1106.88,672.246,1052.05,228.423,143.143,20.0,20.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0020.ids,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0020_query_stats.csv,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_raw_pq0020_batch_stats.csv
repro_gpu_hash,20,893012.0,5.13106,0.164534,195088.0,6117.08,0.0932,10,30.0861,23.2244,0.107044,0.017248,0.0,5.29029,0.025099,798.181,1211.15,37.155,54.0,1156.96,798.181,1211.15,219.346,124.805,20.0,20.0,1.0,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0020.ids,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0020_query_stats.csv,/root/2020_song_ex/results/glove200_full/runs/repro_gpu/repro_gpu_hash_pq0020_batch_stats.csv
official_cpu_raw,20,1798463.6147841811,1387.7161244551341,21.897742045944252,720.7873652233858,11.33738589889662,0.3105,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/glove200_full/runs/official_cpu_raw/official_cpu_raw_pq0020.ids,/root/2020_song_ex/results/glove200_full/runs/official_cpu_raw/official_cpu_raw_pq0020_query_stats.csv,
official_gpu_raw,20,1657734.8226048052,1374.3302722771962,6.911936970450797,727.6455753447817,3.6663820230360065,0.4621,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/glove200_full/runs/official_gpu_raw/official_gpu_raw_pq0020.ids,/root/2020_song_ex/results/glove200_full/runs/official_gpu_raw/official_gpu_raw_pq0020_query_stats.csv,
