method,pq,build_ms,search_ms,search_ms_std,qps,qps_std,recall,k,upload_ms,query_projection_ms,alloc_ms,h2d_ms,memset_ms,kernel_ms,d2h_ms,visited_mean,visited_p95,expanded_mean,expanded_p95,neighbor_slots_mean,distance_evals_mean,distance_evals_p95,frontier_pushes_mean,result_updates_mean,peak_frontier_mean,peak_results_mean,early_stop_rate,ids_path,query_stats_path,batch_stats_path
repro_cpu_raw,10,202849.0,13.7372,0.307724,72831.2,1609.58,0.0276,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.657,95.0,34.231,35.0,1063.39,47.657,95.0,47.657,19.344,45.306,10.0,1.0,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0010.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0010_query_stats.csv,
repro_gpu_raw,10,202147.0,1.11014,0.535671,1090560.0,393778.0,0.0273,10,298.58,0.0,0.179821,0.340502,0.0,1.45277,0.031756,47.58,95.0,12.316,13.0,393.984,47.58,95.0,20.892,19.312,10.0,10.0,0.004,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0010.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0010_query_stats.csv,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0010_batch_stats.csv
repro_gpu_hash,10,176189.0,1.83204,0.0221072,545920.0,6536.77,0.1163,10,17.2434,29.4862,0.148116,0.021624,0.0,1.78602,0.024646,352.813,568.1,20.706,31.05,630.592,352.813,568.1,106.746,59.243,10.0,10.0,1.0,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0010.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0010_query_stats.csv,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0010_batch_stats.csv
official_cpu_raw,10,439271.70023322105,880.706907560428,14.098666493945958,1135.7409613251143,18.081298688478743,0.1262,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/nytimes_full/runs/official_cpu_raw/official_cpu_raw_pq0010.ids,/root/2020_song_ex/results/nytimes_full/runs/official_cpu_raw/official_cpu_raw_pq0010_query_stats.csv,
official_gpu_raw,10,373007.3073282838,860.1916022598743,194.21926765564123,1216.1892143233445,237.80775993618272,0.2793,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/nytimes_full/runs/official_gpu_raw/official_gpu_raw_pq0010.ids,/root/2020_song_ex/results/nytimes_full/runs/official_gpu_raw/official_gpu_raw_pq0010_query_stats.csv,
repro_cpu_raw,20,202849.0,14.2689,0.272609,70107.5,1322.3,0.0283,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.778,95.0,34.345,36.0,1067.04,47.778,95.0,47.778,32.378,45.407,20.0,1.0,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0020.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0020_query_stats.csv,
repro_gpu_raw,20,202147.0,1.01825,0.016713,982339.0,16005.6,0.0259,10,298.58,0.0,0.118456,0.10328,0.0,0.883428,0.02221,47.701,95.0,22.354,23.05,715.296,47.701,95.0,33.795,32.344,20.0,20.0,0.001,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0020.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0020_query_stats.csv,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_raw_pq0020_batch_stats.csv
repro_gpu_hash,20,176189.0,3.56756,0.00535435,280304.0,420.26,0.166,10,17.2434,29.4862,0.117349,0.018211,0.0,3.50441,0.022149,572.894,900.15,35.9,55.0,1116.8,572.894,900.15,194.348,110.098,20.0,20.0,1.0,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0020.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0020_query_stats.csv,/root/2020_song_ex/results/nytimes_full/runs/repro_gpu/repro_gpu_hash_pq0020_batch_stats.csv
official_cpu_raw,20,439271.70023322105,985.3004689017931,4.657129039840974,1014.9415775234544,4.8124616193027085,0.1785,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/nytimes_full/runs/official_cpu_raw/official_cpu_raw_pq0020.ids,/root/2020_song_ex/results/nytimes_full/runs/official_cpu_raw/official_cpu_raw_pq0020_query_stats.csv,
official_gpu_raw,20,373007.3073282838,701.3475286463896,10.067063501992385,1426.1233858171836,20.672657483341762,0.2793,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/root/2020_song_ex/results/nytimes_full/runs/official_gpu_raw/official_gpu_raw_pq0020.ids,/root/2020_song_ex/results/nytimes_full/runs/official_gpu_raw/official_gpu_raw_pq0020_query_stats.csv,
repro_cpu_raw,30,202849.0,14.6406,0.245044,68322.3,1133.13,0.0283,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78,95.0,34.355,36.0,1067.36,47.78,95.0,47.78,44.089,45.407,30.0,1.0,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0030.ids,/root/2020_song_ex/results/nytimes_full/runs/repro_cpu_raw/pq0030_query_stats.csv,
